min_knots;max_knots;min_weight;max_weight;min_sail;max_sail;beginner;intermediate;advanced
23;24;65;75;4;4.5;too strong for your skill level;too strong for your skill level;good for improvement
23;24;75;85;4.5;5;too strong for your skill level;too strong for your skill level;good for improvement
23;24;85;95;5;5.5;too strong for your skill level;too strong for your skill level;good for improvement
23;24;95;missing;5.5;6;too strong for your skill level;too strong for your skill level;good for improvement
24;25;missing;55;3;3.5;too strong for your skill level;too strong for your skill level;good for improvement
24;25;55;65;3.5;4;too strong for your skill level;too strong for your skill level;good for improvement
24;25;65;75;4;4.5;too strong for your skill level;too strong for your skill level;good for improvement
24;25;75;85;4.5;5;too strong for your skill level;too strong for your skill level;good for improvement
24;25;85;95;5;5.5;too strong for your skill level;too strong for your skill level;good for improvement
24;25;95;missing;5.5;6;too strong for your skill level;too strong for your skill level;good for improvement
25;26;missing;55;3;3.5;too strong for your skill level;too strong for your skill level;good for improvement
25;26;55;65;3.5;4;too strong for your skill level;too strong for your skill level;good for improvement
25;26;65;75;4;4.5;too strong for your skill level;too strong for your skill level;good for improvement
25;26;75;85;4.5;5;too strong for your skill level;too strong for your skill level;good for improvement
25;26;85;95;5;5.5;too strong for your skill level;too strong for your skill level;good for improvement
25;26;95;missing;5.5;6;too strong for your skill level;too strong for your skill level;good for improvement
26;27;missing;55;3;3.5;too strong for your skill level;too strong for your skill level;good for improvement
26;27;55;65;3.5;4;too strong for your skill level;too strong for your skill level;good for improvement
26;27;65;75;4;4.5;too strong for your skill level;too strong for your skill level;good for improvement
26;27;75;85;4.5;5;too strong for your skill level;too strong for your skill level;good for improvement
26;27;85;95;5;5.5;too strong for your skill level;too strong for your skill level;good for improvement
26;27;95;missing;5.5;6;too strong for your skill level;too strong for your skill level;good for improvement
27;28;missing;55;3;3.5;too high;too high;too high
27;28;55;65;3.5;4;too high;too high;too high
27;28;65;75;4;4.5;too high;too high;too high
27;28;75;85;4.5;5;too high;too high;too high
27;28;85;95;5;5.5;too high;too high;too high
27;28;95;missing;5.5;6;too high;too high;too high
28;29;missing;55;missing;missing;too high;too high;too high
28;29;55;65;missing;missing;too high;too high;too high
28;29;65;75;missing;missing;too high;too high;too high
